group,country,2104.00,2004.00,Difference
0,Greece,34.04,39.87,-5.83
0,Portugal,47.82,50.24,-2.42
0,Mexico,54.97,53.76,1.21
0,United States,61.35,59.93,1.42
0,Turkey,31.40,29.47,1.94
0,Iceland,84.13,82.04,2.09
0,Denmark,63.23,60.31,2.92
0,Ireland,52.55,49.62,2.93
0,Spain,44.33,41.24,3.09
0,Norway,72.21,68.00,4.21
0,United Kingdom,60.84,56.20,4.64
0,Sweden,74.20,69.53,4.67
0,Japan,68.65,63.04,5.61
0,Switzerland,71.56,65.23,6.33
0,Slovenia,35.42,29.00,6.41
0,Canada,60.43,53.92,6.51
0,Korea,65.63,58.46,7.18
0,Finland,59.20,50.97,8.23
0,OECD,56.03,47.75,8.28
0,New Zealand,76.19,67.07,9.12
0,France,47.06,37.83,9.23
0,Australia,61.49,51.70,9.78
0,Hungary,41.75,31.06,10.70
0,Czech Republic,54.01,42.63,11.38
0,Estonia,63.97,52.49,11.48
0,Luxembourg,42.55,30.38,12.17
0,Belgium,42.65,29.98,12.67
0,Israel,65.12,51.54,13.59
0,Chile,64.23,50.04,14.20
0,Polen,42.45,28.01,14.44
0,Italy,46.24,30.55,15.69
0,Netherlands,59.86,43.70,16.16
0,Slovak Republic,44.75,26.79,17.97
0,Austria,45.10,27.13,17.97
0,Germany,65.56,41.79,23.77
1,China,59.02,59.19,-0.17
1,Argentina,59.90,59.40,0.50
1,Brazil ,53.32,52.57,0.74
1,South Africa,40.60,39.58,1.01
1,Russian Federation,47.36,42.32,5.03
1,Saudi Arabia,45.60,37.80,7.80
1,India,52.45,43.97,8.49
1,Indonesia,66.70,51.80,14.90
