Ethnic group,Percentage 'Not Good' health,Median age (years)
White: Irish,27.8,53
White: English/Welsh/Scottish/Northern Irish/British,20.0,42
Black/African/Caribbean/Black British: Caribbean,22.9,40
Asian/Asian British: Indian,15.0,32
Other ethnic group: Any other ethnic group,16.0,31
Asian/Asian British: Other Asian,12.3,31
White: Other White,10.7,31
Asian/Asian British: Chinese,10.4,28
Black/African/Caribbean/Black British: African,8.4,28
Other ethnic group: Arab,14.0,27
White: Gypsy or Irish Traveller,29.8,26
Asian/Asian British: Pakistani,16.7,25
Asian/Asian British: Bangladeshi,17.0,24
Black/African/Caribbean/Black British: Other Black,13.3,23
Mixed/multiple ethnic group: Other Mixed,11.0,20
Mixed/multiple ethnic group: White and Black Caribbean,11.9,18
Mixed/multiple ethnic group: White and Asian,8.8,17
Mixed/multiple ethnic group: White and Black African,9.2,16
