sector,variable,categroy,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Primary sector and utilities,type,FT,614.823,579.141,523.986,478.822,483.218,519.252,521.892,497.739,486.004,460.61,456.159,432.706,428.249,435.896,445.713,439.831,449.853,446.343,481.505,463.72,497.004,473.363,475.581,478.196,480.716,483.752,484.121,485.566,486.648,487.512,488.731
Primary sector and utilities,type,PT,86.18,94.856,93.042,93.135,94.757,96.727,94.051,93.283,83.933,102.395,105.238,83.814,85.209,83.457,79.359,89.26,87.544,88.558,89.473,90.257,90.759,83.736,85.504,87.168,88.838,90.698,91.927,93.547,95.104,96.748,98.553
Primary sector and utilities,type,SE,259.273,238.067,241.733,237.95,229.71,232.193,207.144,176.177,163.918,147.224,136.349,142.883,143.944,160.764,158.583,160.744,185.96,191.864,215.618,219.675,230.761,198.187,197.639,196.649,195.458,194.653,191.966,190.349,188.624,187.164,186.139
Manufacturing,type,FT,3602.537,3447.645,3474.694,3574.093,3612.698,3629.381,3672.811,3564.94,3458.14,3307.471,3094.87,2981.921,2826.4,2688.882,2582.461,2542.288,2443.556,2293.768,2199.646,2217.746,2259.262,2230.985,2214.239,2189.368,2172.203,2151.192,2126.47,2100.396,2074.621,2048.173,2023.762
Manufacturing,type,PT,374.456,351.351,343.475,342.735,347.134,376.447,338.877,300.203,303.568,298.518,318.698,252.729,245.437,239.786,230.297,229.453,233.472,177.411,189.483,184.587,194.924,196.903,199.292,201.099,203.814,206.213,208.175,210.078,212.121,214.236,216.649
Manufacturing,type,SE,243.821,247.311,240.219,224.257,249.288,246.605,264.597,235.591,216.175,205.488,213.284,202.527,215.957,191.493,213.845,207.867,206.406,171.666,173.308,155.19,191.457,189.154,187.963,186.417,185.489,184.598,183.495,182.074,180.459,178.853,177.547
Construction,type,FT,1077.924,991.01,998.167,969.068,940.234,1006.6,1111.135,1097.583,1177.479,1179.108,1155.044,1170.584,1199.559,1229.823,1279.974,1305.028,1277.351,1319.204,1184.033,1104.01,1060.879,1051.89,1074.83,1106.507,1136.285,1160.538,1184.489,1211.295,1236.312,1255.19,1273.162
Construction,type,PT,102.077,95.992,90.882,95.886,112.719,102.352,119.765,150.471,150.417,143.89,144.215,133.304,135.293,145.782,167.991,144.984,164.431,143.289,122.212,137.223,134.67,133.494,136.465,140.552,144.385,147.516,150.605,154.066,157.288,159.734,162.061
Construction,type,SE,751.605,735.856,724.037,734.03,774.637,670.925,615.356,640.21,615.727,636.926,687.022,743.281,780.541,815.136,806.242,856.018,842.996,776.558,775.845,800.11,814.227,800.205,807.976,822.112,834.541,842.841,850.827,860.743,869.253,873.436,876.963
"Trade, accomod. and transport",type,FT,4198.869,4117.45,4112.002,4156.939,3941.078,4065.261,4202.926,4329.753,4345.884,4455.822,4474.757,4472.696,4480.259,4595.884,4551.273,4687.497,4762.836,4558.385,4426.522,4456.95,4578.46,4587.608,4591.047,4592.041,4610.601,4635.247,4667.119,4703.523,4742.359,4774.876,4802.532
"Trade, accomod. and transport",type,PT,2329.131,2304.54,2420.277,2507.787,2839.64,2889.45,2856.519,2839.535,2923.551,2963.175,3051.13,3111.926,3168.775,3140.401,3192.614,3077.608,3093.786,3056.565,2994.26,3019.51,3175.598,3162.861,3178.646,3190.819,3216.567,3247.285,3283.956,3325.753,3369.498,3408.125,3443.188
"Trade, accomod. and transport",type,SE,939.718,959.411,904.29,913.819,828.207,872.307,804.066,779.517,735.594,751.429,762.906,775.155,764.083,734.236,732.568,746.458,752.053,743.235,753.672,749.73,818.252,808.347,797.159,785.909,777.692,770.637,764.754,759.738,755.076,749.412,742.895
Business and other services,type,FT,4178.501,4189.421,4212.113,4361.076,4136.532,4365.863,4565.325,4824.628,5079.553,5225.901,5236.822,5292.08,5396.68,5526.789,5723.377,5870.514,6059.926,5842.127,5667.916,5728.076,5900.942,6048.383,6130.094,6209.278,6279.259,6343.081,6406.99,6472.765,6535.14,6597.087,6660.335
Business and other services,type,PT,1289.471,1339.58,1331.12,1391.669,1740.23,1770.882,1711.17,1744.626,1763.916,1902.122,2021.413,2008.696,2011.643,2088.182,2140.758,2174.18,2180.703,2078.352,2163.549,2138.068,2190.566,2232.224,2262.585,2293.241,2318.684,2341.955,2364.778,2387.87,2409.944,2432.112,2454.853
Business and other services,type,SE,832.24,834.721,927.53,979.119,1005.37,1030.532,1046.091,1081.702,1091.08,1092.898,1117.685,1202.817,1223.767,1214.499,1235.952,1272.757,1267.055,1299.645,1395.494,1442.02,1573.02,1612.51,1621.451,1630.487,1636.717,1642.982,1648.897,1655.344,1661.33,1667.431,1673.727
