,ALL16-24,ALL25-49,ALL50-SPA1,ALLSPA+1,w16-24,w25-49,w50-SPA1,wSPA+1
Jan-Mar 1994,73.1,84.4,68.5,7.9,68.2,74.9,62.6,8.1
Apr-Jun 1994,72.8,84.3,68.6,7.9,67.9,74.8,62.9,8.1
Jul-Sep 1994,72.7,84.2,68.8,7.9,67.8,74.7,63.3,8.1
Oct-Dec 1994,72.3,84.2,68.8,7.9,67.4,74.6,63.6,8.0
Jan-Mar 1995,71.9,84.0,68.6,8.0,67.0,74.5,63.6,8.0
Apr-Jun 1995,71.7,84.0,68.4,8.1,66.6,74.5,63.5,8.0
Jul-Sep 1995,71.7,83.9,68.2,8.1,66.7,74.5,63.5,8.0
Oct-Dec 1995,71.9,84.0,68.1,8.1,67.1,74.6,63.3,8.1
Jan-Mar 1996,72.2,84.0,68.1,8.0,67.3,74.7,63.2,8.1
Apr-Jun 1996,72.4,84.0,68.1,7.9,67.6,74.9,63.3,8.0
Jul-Sep 1996,72.3,83.9,68.1,7.8,67.5,75.0,63.2,8.0
Oct-Dec 1996,72.4,83.9,68.2,7.8,67.7,75.2,63.2,7.9
Jan-Mar 1997,72.4,83.9,68.3,7.8,67.9,75.3,63.3,7.9
Apr-Jun 1997,72.5,84.0,68.4,7.9,68.2,75.4,63.3,8.1
Jul-Sep 1997,72.6,84.0,68.5,8.0,68.4,75.6,63.3,8.2
Oct-Dec 1997,72.5,84.0,68.5,8.0,68.5,75.6,63.3,8.2
Jan-Mar 1998,72.4,84.1,68.5,8.0,68.5,75.6,63.4,8.1
Apr-Jun 1998,72.1,84.0,68.4,7.9,68.3,75.6,63.6,8.0
Jul-Sep 1998,72.2,84.0,68.5,7.8,68.4,75.7,63.9,7.9
Oct-Dec 1998,72.2,84.0,68.8,7.8,68.3,75.8,64.3,8.0
Jan-Mar 1999,72.3,84.2,69.1,7.8,68.4,76.0,64.7,8.0
Apr-Jun 1999,72.2,84.3,69.3,7.9,68.1,76.2,65.0,8.1
Jul-Sep 1999,72.0,84.5,69.3,8.0,67.9,76.5,65.2,8.1
Oct-Dec 1999,71.9,84.7,69.3,8.1,67.9,76.7,65.2,8.2
Jan-Mar 2000,71.9,84.7,69.3,8.2,67.9,76.7,65.4,8.3
Apr-Jun 2000,71.9,84.8,69.5,8.2,68.1,76.8,65.6,8.4
Jul-Sep 2000,71.7,84.8,69.6,8.2,68.0,76.9,65.9,8.5
Oct-Dec 2000,71.4,84.7,69.7,8.2,67.7,76.8,66.0,8.5
Jan-Mar 2001,71.0,84.7,69.8,8.1,67.2,76.8,66.0,8.5
Apr-Jun 2001,70.9,84.6,69.9,8.1,67.1,76.9,66.0,8.5
Jul-Sep 2001,70.7,84.5,69.9,8.1,66.7,76.7,66.0,8.6
Oct-Dec 2001,71.0,84.4,70.1,8.3,66.9,76.6,66.2,8.7
Jan-Mar 2002,71.0,84.3,70.1,8.4,67.1,76.6,66.3,8.9
Apr-Jun 2002,70.9,84.4,70.2,8.6,67.0,76.7,66.6,9.0
Jul-Sep 2002,70.8,84.4,70.4,8.6,67.2,76.7,67.0,9.1
Oct-Dec 2002,70.6,84.5,70.7,8.6,67.1,76.8,67.3,9.1
Jan-Mar 2003,70.5,84.5,71.1,8.7,67.0,76.9,67.7,9.1
Apr-Jun 2003,70.2,84.4,71.6,8.8,66.6,76.8,68.1,9.1
Jul-Sep 2003,70.0,84.4,71.9,8.9,66.3,76.7,68.5,9.2
Oct-Dec 2003,69.7,84.3,72.0,9.1,66.1,76.7,68.6,9.4
Jan-Mar 2004,69.7,84.3,72.1,9.2,66.3,76.7,68.8,9.6
Apr-Jun 2004,69.7,84.3,72.0,9.4,66.4,76.8,68.7,9.8
Jul-Sep 2004,69.6,84.3,71.9,9.4,66.5,76.8,68.5,9.9
Oct-Dec 2004,69.6,84.3,72.1,9.5,66.5,76.9,68.8,9.9
