Mid-Year,65 - 74,75 - 84,85 and over
1974,8.9,4.0,0.9
1975,9.0,4.1,0.9
1976,9.1,4.2,1.0
1977,9.2,4.3,1.0
1978,9.2,4.4,1.0
1979,9.3,4.5,1.0
1980,9.3,4.6,1.0
1981,9.2,4.8,1.1
1982,9.1,4.9,1.1
1983,8.8,5.0,1.1
1984,8.6,5.1,1.2
1985,8.8,5.2,1.2
1986,8.9,5.2,1.3
1987,8.9,5.3,1.3
1988,8.9,5.4,1.4
1989,8.9,5.4,1.4
1990,8.8,5.4,1.5
1991,8.8,5.4,1.5
1992,8.9,5.4,1.6
1993,9.0,5.2,1.6
1994,9.0,5.1,1.7
1995,8.9,5.3,1.7
1996,8.7,5.4,1.8
1997,8.6,5.5,1.8
1998,8.5,5.5,1.8
1999,8.4,5.5,1.9
2000,8.4,5.5,1.9
2001,8.4,5.6,1.9
2002,8.4,5.6,1.9
2003,8.4,5.7,1.8
2004,8.4,5.7,1.8
2005,8.3,5.6,1.9
2006,8.3,5.6,2.0
2007,8.2,5.6,2.1
2008,8.3,5.5,2.1
2009,8.5,5.5,2.2
2010,8.6,5.5,2.2
2011,8.7,5.6,2.2
2012,9.1,5.6,2.3
2013,9.4,5.7,2.3
2014,9.6,5.7,2.3
