workers,3258.00,17227.00,7443.00,614.00,28543.00,0.11,0.60,0.26,0.02,1.00
Finance,150.00,1043.00,267.00,18.00,1478.00,0.10,0.71,0.18,0.01,1.00
Construction,228.00,1286.00,565.00,38.00,2117.00,0.11,0.61,0.27,0.02,1.00
Manufacturing,222.00,1705.00,814.00,51.00,2793.00,0.08,0.61,0.29,0.02,1.00
PublicAdmins,41.00,921.00,391.00,19.00,1371.00,0.03,0.67,0.28,0.01,1.00
HealthandSocialcare,304.00,2288.00,1135.00,67.00,3795.00,0.08,0.60,0.30,0.02,1.00
Hospitality,446.00,783.00,235.00,28.00,1493.00,0.30,0.52,0.16,0.02,1.00
Retail,807.00,2119.00,892.00,82.00,3900.00,0.21,0.54,0.23,0.02,1.00
Education,192.00,1830.00,917.00,61.00,3000.00,0.06,0.61,0.31,0.02,1.00
Transport,75.00,782.00,393.00,37.00,1287.00,0.06,0.61,0.31,0.03,1.00
Othersectors,792.00,4470.00,1834.00,213.00,7309.00,0.11,0.61,0.25,0.03,1.00
