year,type,All ages,0-16,17-20,21-29,30-39,40-49,50-59,60-69,70+
2013,Commuting,145,4,154,246,239,244,231,85,11
2013,Business,30,0,9,34,46,58,59,27,3
2013,Education,64,250,150,37,3,2,1,0,0
2013,Escort education,49,46,7,38,113,95,24,15,8
2013,Shopping,180,54,123,158,186,198,220,287,278
2013,Other escort,86,132,25,51,108,105,81,70,33
2013,Personal business,89,67,46,57,86,93,100,129,132
2013,Visit friends at private home,94,113,112,98,86,76,86,110,78
2013,Visit friends elsewhere,44,27,48,57,45,39,47,59,46
2013,Sport / entertainment,64,79,66,61,56,54,55,76,59
2013,Holiday / day trip,38,39,22,27,42,42,40,48,34
2013,Other including just walk,40,32,22,26,33,47,55,59,45
2012,Commuting,146,4,155,252,241,241,223,96,11
2012,Business,30,0,15,28,44,60,64,28,1
2012,Education,63,247,162,31,4,2,1,1,0
2012,Escort education,54,47,5,36,129,104,29,16,9
2012,Shopping,187,58,132,155,196,218,231,292,280
2012,Other escort,87,129,25,52,96,122,78,73,39
2012,Personal business,94,61,54,67,93,99,111,137,134
2012,Visit friends at private home,101,122,128,105,96,84,91,107,81
2012,Visit friends elsewhere,44,31,58,47,43,45,45,53,46
2012,Sport / entertainment,66,81,63,54,56,62,61,80,65
2012,Holiday / day trip,37,33,22,26,37,39,46,53,30
2012,Other including just walk,42,36,15,24,39,51,59,61,40
2011,Commuting,147,2,143,254,237,236,253,89,7
2011,Business,28,0,12,27,44,61,51,25,4
2011,Education,59,232,131,30,7,2,1,0,0
2011,Escort education,48,42,9,40,109,96,19,16,6
2011,Shopping,189,46,125,171,213,221,227,288,290
2011,Other escort,92,153,30,62,106,115,72,68,36
2011,Personal business,92,60,50,70,100,96,99,135,134
2011,Visit friends at private home,103,124,133,113,97,83,91,111,75
2011,Visit friends elsewhere,45,27,60,50,47,46,50,57,48
2011,Sport / entertainment,64,82,60,69,50,58,50,74,57
2011,Holiday / day trip,41,37,26,27,36,46,47,63,41
2011,Other including just walk,43,39,20,30,46,46,54,55,39
2010,Commuting,149,3,143,259,245,247,239,91,11
2010,Business,29,0,10,28,45,61,55,24,2
2010,Education,60,244,136,19,5,2,1,0,0
2010,Escort education,50,46,7,41,120,91,24,14,4
