a_racel,a_sf1,a_sf2a,a_sex_cr,a_age_cr,a_netinc1,a_indpxus_xw
1,2,3,1,39,1391,0.807540596
4,2,3,1,59,791.173584,0.986403048
1,4,1,2,39,1179.526611,0.869352162
1,4,3,2,17,130.0000153,0.93384546
1,4,1,2,72,876.8900146,0.944966793
1,2,3,2,57,399.9999695,1.37287128
-7,4,-7,1,59,1113.666626,1.450539231
-7,1,-7,1,25,1047.633179,2.077795982
-7,3,-7,1,22,955.6262207,2.255957365
1,5,1,2,38,576.475708,0.849518597
-7,1,-7,1,51,886.611084,1.250635386
1,4,2,2,51,1333,0.851713061
1,3,3,1,31,3027.80542,1.027011752
1,1,3,2,24,881.006958,0.997535706
1,1,3,2,45,1691,1.014065504
-7,1,-7,2,23,3.777759552,1.171059847
1,1,3,1,35,2138.702637,0.838609159
1,3,3,2,39,1507.81543,0.829824328
1,3,3,2,16,0,0.842441916
1,5,2,1,51,950.666626,1.096731901
1,1,3,1,61,641,0.966511726
1,3,3,2,29,789.1932373,0.912633359
1,1,3,1,26,1514.666626,1.200974345
1,3,3,2,26,1089.660034,0.900258124
1,4,1,2,72,971.7498779,0.907260537
1,2,3,1,35,56.33332443,0.869696438
1,2,3,2,23,515.333374,1.067528844
1,2,3,1,34,512.319519,0.953221858
1,5,1,2,73,1293.953125,0.915447116
1,3,3,2,36,670.8933105,0.899040163
1,2,3,2,36,0,0.969545305
1,2,3,2,37,1422.838745,0.860987544
1,2,3,1,42,1641,1.210952163
1,2,3,2,17,86.66666412,0.933001459
1,2,3,2,36,481.5266418,0.898289084
-7,2,-7,1,40,2766.420166,1.269944787
1,3,3,2,19,998.4934082,0.81220597
1,2,3,2,61,1056.666504,0.851475537
1,1,3,1,24,1291,1.071310401
1,3,3,2,70,892.6407471,0.877071679
1,2,3,1,28,1692.388916,1.027345538
1,2,3,1,77,774.1679688,0.941581547
1,4,3,2,40,1012.993469,0.847403228
1,4,3,1,60,685.666748,0.972409785
1,3,3,2,80,563.7905884,0.966185093
1,1,3,2,39,1947.15979,0.857710242
1,1,3,1,35,1634.859985,0.955175996
1,2,3,1,39,2084.604492,0.895398676
1,2,3,2,38,1577.660034,0.822778881
1,3,2,1,55,1509.139038,1.003395915
1,1,3,2,33,1106.817871,0.879708827
1,2,3,1,36,1958.917114,0.895828068
1,4,2,2,62,1099.751709,0.880547345
1,4,2,1,61,1244.666504,1.128413439
1,3,3,2,47,2377.659912,0.956889689
1,3,3,1,49,5091.000488,1.044239163
1,1,3,1,66,1649.83313,0.940024674
1,1,3,2,63,402.1386108,0.865956426
1,2,3,2,36,798.1932983,0.840459943
1,4,3,1,62,200.4167023,1.095306277
1,4,3,2,62,199.333313,0.861666441
-7,1,-7,1,51,3092.838623,1.583588839
1,1,3,2,49,1391,1.202279091
1,4,3,1,21,191.0069427,1.89555943
1,2,3,2,20,591,1.491110206
1,3,3,1,48,2640.00415,1.195817232
1,2,3,2,41,1791.694458,1.07077837
