year,Working age,Pension age
2012 ,39441 ,12280 
2013 ,39714 ,12345 
2014 ,39999 ,12411 
2015 ,40282 ,12470 
2016 ,40598 ,12488 
2017 ,40950 ,12443 
2018 ,41276 ,12407 
2019 ,41710 ,12268 
2020 ,42145 ,12146 
2021 ,42321 ,12295 
2022 ,42437 ,12530 
2023 ,42549 ,12782 
2024 ,42665 ,13052 
2025 ,42760 ,13332 
2026 ,42849 ,13618 
2027 ,42924 ,13928 
2028 ,42985 ,14255 
2029 ,43010 ,14590 
2030 ,43028 ,14932 
2031 ,43044 ,15272 
2032 ,43071 ,15593 
2033 ,43102 ,15904 
2034 ,43278 ,16061 
2035 ,43751 ,15913 
2036 ,44100 ,15879 
2037 ,44171 ,16112 
2041 ,44563 ,16837 
