sex,year,0,20,40,60,65,75,80,85
m,2012,90.6,68.3,46.3,25.8,21.2,12.9,9.3,6.3
m,2020,91.8,69.5,47.4,26.8,22.2,14,10.5,7.5
m,2025,92.5,70.2,48.1,27.5,22.8,14.5,11,8
m,2030,93.3,70.9,48.8,28.1,23.4,15,11.4,8.4
m,2035,94,71.6,49.5,28.7,23.9,15.4,11.8,8.7
m,2040,94.8,72.3,50.1,29.3,24.5,15.9,12.2,9
m,2045,95.5,73,50.8,29.8,25,16.3,12.6,9.4
m,2050,96.2,73.7,51.5,30.4,25.6,16.8,13,9.7
f,2012,93.9,71.7,49.6,28.7,23.9,15,10.9,7.4
f,2020,95,72.8,50.6,29.6,24.8,16,12.1,8.7
f,2025,95.7,73.5,51.3,30.2,25.4,16.5,12.6,9.2
f,2030,96.4,74.1,51.9,30.8,25.9,16.9,13,9.5
f,2035,97.1,74.8,52.5,31.4,26.5,17.4,13.4,9.9
f,2040,97.7,75.4,53.2,32,27,17.9,13.8,10.2
f,2045,98.4,76.1,53.8,32.5,27.6,18.3,14.2,10.6
f,2050,99.1,76.8,54.5,33.1,28.1,18.8,14.6,11
